Date;Filière;Frontière;Valeur (TWh)
2023-05;"Grande Bretagne";"";2,25
2023-06;"Grande Bretagne";"";1,36
2023-07;"Grande Bretagne";"";0,66
2023-08;"Grande Bretagne";"";0,87
2023-09;"Grande Bretagne";"";0,75
2023-10;"Grande Bretagne";"";1,17
2023-11;"Grande Bretagne";"";1,42
2023-12;"Grande Bretagne";"";0,86
2024-01;"Grande Bretagne";"";0,94
2024-02;"Grande Bretagne";"";1,58
2024-03;"Grande Bretagne";"";2,42
2024-04;"Grande Bretagne";"";1,97
2024-05;"Grande Bretagne";"";2,26
2024-06;"Grande Bretagne";"";2,41
2024-07;"Grande Bretagne";"";2,45
2024-08;"Grande Bretagne";"";1,72
2024-09;"Grande Bretagne";"";1,39
2024-10;"Grande Bretagne";"";0,86
2024-11;"Grande Bretagne";"";1,22
2024-12;"Grande Bretagne";"";0,86
2025-01;"Grande Bretagne";"";1,12
2025-02;"Grande Bretagne";"";1,09
2020-01;"Suisse";"";1,55
2020-02;"Suisse";"";1,91
2020-03;"Suisse";"";1,7
2020-04;"Suisse";"";1,49
2020-05;"Suisse";"";1,42
2020-06;"Suisse";"";0,7
2020-07;"Suisse";"";0,22
2020-08;"Suisse";"";0,08
2020-09;"Suisse";"";-0,08
2020-10;"Suisse";"";0,7
2020-11;"Suisse";"";1,68
2020-12;"Suisse";"";1,83
2021-01;"Suisse";"";1,18
2021-02;"Suisse";"";1,36
2021-03;"Suisse";"";1,49
2021-04;"Suisse";"";0,86
2021-05;"Suisse";"";1,05
2021-06;"Suisse";"";1,14
2021-07;"Suisse";"";1,35
2021-08;"Suisse";"";1,39
2021-09;"Suisse";"";1,28
2021-10;"Suisse";"";1,87
2021-11;"Suisse";"";1,51
2021-12;"Suisse";"";1,1
2022-01;"Suisse";"";1,33
2022-02;"Suisse";"";1,71
2022-03;"Suisse";"";1,18
2022-04;"Suisse";"";0,55
2022-05;"Suisse";"";0,65
2022-06;"Suisse";"";0,76
2022-07;"Suisse";"";0,2
2022-08;"Suisse";"";0,42
2022-09;"Suisse";"";0,71
2022-10;"Suisse";"";1,39
2022-11;"Suisse";"";1,97
2022-12;"Suisse";"";1,2
2023-01;"Suisse";"";1,69
2023-02;"Suisse";"";1,53
2023-03;"Suisse";"";0,87
2023-04;"Suisse";"";1,29
2023-05;"Suisse";"";1,49
2023-06;"Suisse";"";1,33
2023-07;"Suisse";"";1,23
2023-08;"Suisse";"";1,08
2023-09;"Suisse";"";1,16
2023-10;"Suisse";"";1,49
2023-11;"Suisse";"";1,39
2023-12;"Suisse";"";1,82
2024-01;"Suisse";"";1,86
2024-02;"Suisse";"";1,93
2024-03;"Suisse";"";1,41
2024-04;"Suisse";"";1,37
2024-05;"Suisse";"";1,46
2024-06;"Suisse";"";0,86
2024-07;"Suisse";"";0,11
2024-08;"Suisse";"";0,76
2024-09;"Suisse";"";1,35
2024-10;"Suisse";"";1,62
2024-11;"Suisse";"";1,75
2024-12;"Suisse";"";2,16
2025-01;"Suisse";"";1,72
2025-02;"Suisse";"";1,66
2020-01;"Italie";"";1,92
2020-02;"Italie";"";2,11
2020-03;"Italie";"";1,78
2020-04;"Italie";"";0,56
2020-05;"Italie";"";0,97
2020-06;"Italie";"";0,34
2020-07;"Italie";"";1,19
2020-08;"Italie";"";0,71
2020-09;"Italie";"";0,73
2020-10;"Italie";"";1,61
2020-11;"Italie";"";1,96
2020-12;"Italie";"";1,5
2021-01;"Italie";"";0,97
2021-02;"Italie";"";1,51
2021-03;"Italie";"";1,38
2021-04;"Italie";"";0,88
2021-05;"Italie";"";1,69
2021-06;"Italie";"";1,61
2021-07;"Italie";"";2,09
2021-08;"Italie";"";1,67
2021-09;"Italie";"";1,87
2021-10;"Italie";"";2,14
2021-11;"Italie";"";1,05
2021-12;"Italie";"";0,77
2022-01;"Italie";"";0,98
2022-02;"Italie";"";1,74
2022-03;"Italie";"";1,09
2022-04;"Italie";"";1,33
2022-05;"Italie";"";2,09
2022-06;"Italie";"";1,41
2022-07;"Italie";"";1,71
2022-08;"Italie";"";0,8
2022-09;"Italie";"";1,61
2022-10;"Italie";"";2
2022-11;"Italie";"";2,06
2022-12;"Italie";"";1,07
2023-01;"Italie";"";1,92
2023-02;"Italie";"";2,01
2023-03;"Italie";"";1,7
2023-04;"Italie";"";1,84
2023-05;"Italie";"";1,71
2023-06;"Italie";"";1,14
2023-07;"Italie";"";1,87
2023-08;"Italie";"";1,3
2023-09;"Italie";"";1,23
2023-10;"Italie";"";1,73
2023-11;"Italie";"";1,72
2023-12;"Italie";"";1,88
2024-01;"Italie";"";2,52
2024-02;"Italie";"";2,61
2024-03;"Italie";"";1,55
2024-04;"Italie";"";1,06
2024-05;"Italie";"";1,77
2024-06;"Italie";"";1,45
2024-07;"Italie";"";2,04
2024-08;"Italie";"";1,89
2024-09;"Italie";"";1,38
2024-10;"Italie";"";1,63
2024-11;"Italie";"";2,11
2024-12;"Italie";"";2,26
2025-01;"Italie";"";2,69
2025-02;"Italie";"";2,2
2020-01;"Espagne";"";0,96
2020-02;"Espagne";"";1,19
2020-03;"Espagne";"";0,79
2020-04;"Espagne";"";0,8
2020-05;"Espagne";"";1,31
2020-06;"Espagne";"";0,8
2020-07;"Espagne";"";0,33
2020-08;"Espagne";"";0,05
2020-09;"Espagne";"";-0,75
2020-10;"Espagne";"";-0,07
2020-11;"Espagne";"";0,44
2020-12;"Espagne";"";-0,59
2021-01;"Espagne";"";0,51
2021-02;"Espagne";"";-1,01
2021-03;"Espagne";"";0,19
2021-04;"Espagne";"";0,44
2021-05;"Espagne";"";1,05
2021-06;"Espagne";"";1,37
2021-07;"Espagne";"";1,32
2021-08;"Espagne";"";1,84
2021-09;"Espagne";"";1,28
2021-10;"Espagne";"";0,86
2021-11;"Espagne";"";-0,84
2021-12;"Espagne";"";-0,96
2022-01;"Espagne";"";-0,44
2022-02;"Espagne";"";0,98
2022-03;"Espagne";"";-0,27
2022-04;"Espagne";"";-0,81
2022-05;"Espagne";"";-0,41
2022-06;"Espagne";"";-0,31
2022-07;"Espagne";"";-0,99
2022-08;"Espagne";"";-1,48
2022-09;"Espagne";"";-1,79
2022-10;"Espagne";"";-0,91
2022-11;"Espagne";"";-1,21
2022-12;"Espagne";"";-1,49
2023-01;"Espagne";"";-0,96
2023-02;"Espagne";"";-0,62
2023-03;"Espagne";"";-1,21
2023-04;"Espagne";"";-0,89
2023-05;"Espagne";"";-0,19
2023-06;"Espagne";"";0,06
2023-07;"Espagne";"";0,88
2023-08;"Espagne";"";0,39
2023-09;"Espagne";"";0,83
2023-10;"Espagne";"";0,48
2023-11;"Espagne";"";-0,77
2023-12;"Espagne";"";0,14
2024-01;"Espagne";"";-0,16
2024-02;"Espagne";"";-0,92
2024-03;"Espagne";"";-1,13
2024-04;"Espagne";"";-0,95
2024-05;"Espagne";"";0,42
2024-06;"Espagne";"";0,55
2024-07;"Espagne";"";1,06
2024-08;"Espagne";"";1,39
2024-09;"Espagne";"";0,63
2024-10;"Espagne";"";0,35
2024-11;"Espagne";"";0,64
2024-12;"Espagne";"";0,91
2025-01;"Espagne";"";-0,48
2025-02;"Espagne";"";-0,66
2020-01;"Soldes des échanges";"";4,25
2020-02;"Soldes des échanges";"";6,54
2020-03;"Soldes des échanges";"";5,87
2020-04;"Soldes des échanges";"";5,6
2020-05;"Soldes des échanges";"";6,3
2020-06;"Soldes des échanges";"";3,16
2020-07;"Soldes des échanges";"";1,07
2020-08;"Soldes des échanges";"";1,59
2020-09;"Soldes des échanges";"";-0,72
2020-10;"Soldes des échanges";"";2,65
2020-11;"Soldes des échanges";"";4,58
2020-12;"Soldes des échanges";"";2,3
2021-01;"Soldes des échanges";"";1,8
2021-02;"Soldes des échanges";"";3,23
2021-03;"Soldes des échanges";"";3,09
2021-04;"Soldes des échanges";"";1,45
2021-05;"Soldes des échanges";"";5,78
2021-06;"Soldes des échanges";"";6,69
2021-07;"Soldes des échanges";"";7,17
2021-08;"Soldes des échanges";"";7,57
2021-09;"Soldes des échanges";"";5,64
2021-10;"Soldes des échanges";"";4,15
2021-11;"Soldes des échanges";"";-1,11
2021-12;"Soldes des échanges";"";-2,17
2022-01;"Soldes des échanges";"";-1,19
2022-02;"Soldes des échanges";"";1,73
2022-03;"Soldes des échanges";"";-1,2
2022-04;"Soldes des échanges";"";-1,23
2022-05;"Soldes des échanges";"";0,43
2022-06;"Soldes des échanges";"";-1,26
2022-07;"Soldes des échanges";"";-3,45
2022-08;"Soldes des échanges";"";-3,36
2022-09;"Soldes des échanges";"";-3,41
2022-10;"Soldes des échanges";"";-0,37
2022-11;"Soldes des échanges";"";-1,2
2022-12;"Soldes des échanges";"";-2,01
2023-01;"Soldes des échanges";"";1,27
2023-02;"Soldes des échanges";"";0,75
2023-03;"Soldes des échanges";"";1,28
2023-04;"Soldes des échanges";"";2,88
2023-05;"Soldes des échanges";"";7,06
2023-06;"Soldes des échanges";"";4,92
2023-07;"Soldes des échanges";"";4,41
2023-08;"Soldes des échanges";"";4,41
2023-09;"Soldes des échanges";"";5,69
2023-10;"Soldes des échanges";"";6,66
2023-11;"Soldes des échanges";"";5,37
2023-12;"Soldes des échanges";"";5,59
2024-01;"Soldes des échanges";"";5,82
2024-02;"Soldes des échanges";"";6,91
2024-03;"Soldes des échanges";"";6,93
2024-04;"Soldes des échanges";"";5,41
2024-05;"Soldes des échanges";"";9,23
2024-06;"Soldes des échanges";"";8,42
2024-07;"Soldes des échanges";"";8,58
2024-08;"Soldes des échanges";"";8,08
2024-09;"Soldes des échanges";"";7,78
2024-10;"Soldes des échanges";"";8,03
2024-11;"Soldes des échanges";"";7,26
2024-12;"Soldes des échanges";"";6,52
2025-01;"Soldes des échanges";"";6,53
2025-02;"Soldes des échanges";"";4,69
